EXTRACT_DATE,ORGANISATION_URI,ORGANISATION_LABEL,SERVICE_TYPE_URI,SERVICE_TYPE_LABEL,ELECTION_DATE,ELECTION_TYPE,AREA_NAME,FULL_NAME,FORENAME,MIDDLE_NAME,SURNAME,PARTY_NAME,VOTES,ELECTED,PAPERS_ISSUED,PAPERS_REJECTED
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Town,"Parsons-Hulse, Alexander",Alexander,,Parsons-Hulse,Liberal Democrats,120,,,32
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Sowerby Bridge,"Payne, Mike",Mike,,Payne,Conservative Party,1143,,,58
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Rastrick,"Pillai, Chris",Chris,,Pillai,Conservative Party,1488,Elected,,61
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Todmorden,"Pillai, James Aananda",James,Aananda,Pillai,Conservative Party,408,,,49
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Illingworth and Mixenden,"Pittaway, Mark Stephen",Mark,Stephen,Pittaway,Liberal Democrats,119,,,33
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Elland,"Porritt, Victoria Margaret",Victoria,Margaret,Porritt,Labour Party,1090,Elected,,56
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Ovenden,"Redfearn, Jo",Jo,,Redfearn,Independent,228,,,38
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Northowram and Shelf,"Reynolds, John Dennis",John,Dennis,Reynolds,Liberal Democrats,120,,,37
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Town,"Rushworth, Jamie Lee",Jamie,Lee,Rushworth,The For Britain Movement,287,,,32
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Park,"Shoukat, Faisal",Faisal,,Shoukat,Labour Party,3518,Elected,,24
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Sowerby Bridge,"Smith, Audrey",Audrey,,Smith,Labour Party,1250,Elected,,58
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Ovenden,"Smith, Bryan Thomas Raymond",Bryan,Thomas Raymond,Smith,Labour & Co-operative Party,803,Elected,,38
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Warley,"Smith-Moorhouse, Jill",Jill,,Smith-Moorhouse,Conservative Party,383,,,44
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Sowerby Bridge,"Stringfellow, Tom",Tom,,Stringfellow,Liberal Democrats,282,,,58
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Skircoat,"Sutcliffe, Alexander Nigel",Alexander,Nigel,Sutcliffe,Liberal Democrats,239,,,26
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Warley,"Sutcliffe, Helen",Helen,,Sutcliffe,Labour Party,1098,,,44
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Rastrick,"Sweeny, Kate",Kate,,Sweeny,Green Party,340,,,61
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Town,"Swift, Tim",Tim,,Swift,Labour & Co-operative Party,1065,Elected,,32
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Park,"Sykes, Derek Lloyd",Derek,Lloyd,Sykes,Green Party,160,,,24
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Ryburn,"Tatchell, Rosemary",Rosemary,,Tatchell,Liberal Democrats,144,,,21
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Todmorden,"Taylor, Mick",Mick,,Taylor,Liberal Democrats,803,,,49
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Northowram and Shelf,"Taylor, Roger Laurence",Roger,Laurence,Taylor,Conservative Party,1817,Elected,,37
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Ryburn,"Thornber, Robert Ernest",Robert,Ernest,Thornber,Conservative Party,1043,,,21
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Park,"Troke, James Leonard",James,Leonard,Troke,Liberal Democrats,90,,,24
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Todmorden,"Turner, Angharad Lois",Angharad,Lois,Turner,Green Party,441,,,49
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Luddendenfoot,"Turner, Kieran Luke",Kieran,Luke,Turner,Green Party,370,,,64
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Northowram and Shelf,"Wager, David Henry",David,Henry,Wager,Labour Party,568,,,37
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Skircoat,"Wainwright, John Joseph",John,Joseph,Wainwright,Independent,625,,,26
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Brighouse,"Willows, Oliver George",Oliver,George,Willows,Labour Party,662,,,22
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Warley,"Witham, Katie",Katie,,Witham,Green Party,140,,,44
03/05/2019,http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale,http://id.esd.org.uk/service/721,Election results,02/05/2019,Local,Calder,"Young, Dave",Dave,,Young,Labour,2517,Elected,,82
